timestamp,time for refresh
2019-09-09_1700,0:02:02.294321
2019-09-09_1800,0:02:03.214394
2019-09-09_1900,0:02:02.828643
2019-09-09_2000,0:02:02.968624
2019-09-10_0200,0:02:03.506392
2019-09-10_0300,0:02:02.561173
2019-09-10_0400,0:02:02.677390
2019-09-10_0500,0:02:03.015693
2019-09-10_0600,0:02:02.968577
2019-09-10_0700,0:02:02.741631
2019-09-10_0800,0:02:01.027426
2019-09-10_0900,0:02:02.800828
2019-09-10_1000,0:02:03.439698
2019-09-10_1100,0:02:03.438613
2019-09-10_1200,0:02:03.474977
2019-09-10_1300,0:02:02.830183
2019-09-10_1400,0:02:03.260481
2019-09-10_1500,0:02:03.022462
2019-09-10_1600,0:02:03.517497
2019-09-10_1700,0:02:02.958356
2019-09-10_1800,0:02:02.990776
2019-09-10_1900,0:02:03.493874
2019-09-10_2000,0:02:03.466239
2019-09-10_2100,0:02:02.940221
2019-09-10_2200,0:02:02.831349
2019-09-11_0100,0:02:02.627573
2019-09-11_0200,0:02:02.490618
2019-09-11_0300,0:02:02.467924
2019-09-11_0400,0:02:02.183560
2019-09-11_0500,0:02:02.786713
2019-09-11_0600,0:02:02.227901
2019-09-11_0700,0:02:01.932917
2019-09-11_0800,0:02:01.929976
2019-09-11_0900,0:02:02.460635
2019-09-11_1000,0:02:02.178297
2019-09-11_1100,0:02:02.487994
2019-09-11_1200,0:02:02.868179
2019-09-11_1300,0:02:01.912871
2019-09-11_1400,0:02:02.624986
2019-09-11_1500,0:02:02.186819
2019-09-11_1600,0:02:02.533543
2019-09-11_1700,0:02:02.177147
2019-09-11_1800,0:02:02.421909
2019-09-11_1900,0:02:02.500583
2019-09-11_2000,0:02:02.585847
2019-09-11_2100,0:02:02.622866
2019-09-12_1100,0:02:02.482055
2019-09-12_1200,0:02:03.087737
2019-09-12_1300,0:02:02.739682
2019-09-12_1400,0:02:02.282111
2019-09-12_1500,0:02:02.602139
2019-09-12_1600,0:02:02.357176
2019-09-12_1700,0:02:02.429071
2019-09-12_1800,0:02:02.824522
2019-09-12_1900,0:02:02.307264
2019-09-13_0000,0:02:02.946324
2019-09-13_0100,0:02:02.825540
2019-09-13_0200,0:02:02.959306
2019-09-13_0300,0:02:02.867394
2019-09-13_0400,0:02:02.359987
2019-09-13_0500,0:02:03.377888
2019-09-13_0600,0:02:02.396310
2019-09-13_0700,0:02:02.169765
2019-09-13_0800,0:02:02.285243
